Race,Gender,Age min,R4,R5,R6,R7,R8
Chinese,Male,0,0,0,0,0,0
Chinese,Male,5,0,0,0,1,0
Chinese,Male,10,1,1,0,0,1
Chinese,Male,15,1,0,0,2,1
Chinese,Male,20,0,0,1,1,1
Chinese,Male,25,2,4,4,1,1
Chinese,Male,30,9,5,10,11,8
Chinese,Male,35,18,36,20,19,20
Chinese,Male,40,47,60,61,58,54
Chinese,Male,45,92,80,98,113,113
Chinese,Male,50,169,145,183,184,203
Chinese,Male,55,322,257,284,285,343
Chinese,Male,60,454,397,412,406,452
Chinese,Male,65,442,566,568,576,545
Chinese,Male,70,421,481,592,635,641
Chinese,Male,75,321,368,424,543,636
Chinese,Male,80,319,412,468,480,612
Chinese,Female,0,0,0,1,0,0
Chinese,Female,5,0,0,0,0,0
Chinese,Female,10,0,0,0,1,0
Chinese,Female,15,0,0,0,1,0
Chinese,Female,20,1,2,1,2,0
Chinese,Female,25,6,3,2,2,0
Chinese,Female,30,10,7,15,6,15
Chinese,Female,35,20,16,12,15,25
Chinese,Female,40,24,36,35,45,38
Chinese,Female,45,32,61,69,80,93
Chinese,Female,50,69,67,97,114,142
Chinese,Female,55,77,116,96,163,184
Chinese,Female,60,128,112,123,163,210
Chinese,Female,65,165,209,183,203,249
Chinese,Female,70,182,206,204,253,262
Chinese,Female,75,181,207,222,239,264
Chinese,Female,80,199,293,376,400,512
Malay,Male,0,0,0,0,0,1
Malay,Male,5,0,0,0,0,0
Malay,Male,10,0,0,0,0,0
Malay,Male,15,1,0,0,1,0
Malay,Male,20,0,0,0,1,0
Malay,Male,25,2,1,0,0,2
Malay,Male,30,1,2,2,2,1
Malay,Male,35,3,2,5,1,7
Malay,Male,40,10,10,5,14,14
Malay,Male,45,10,9,18,23,34
Malay,Male,50,16,13,18,34,45
Malay,Male,55,25,29,21,39,45
Malay,Male,60,41,29,39,32,55
Malay,Male,65,43,39,55,52,48
Malay,Male,70,45,57,59,58,60
Malay,Male,75,22,34,62,55,58
Malay,Male,80,21,16,35,44,69
Malay,Female,0,0,0,0,0,0
Malay,Female,5,0,0,0,0,0
Malay,Female,10,0,1,0,0,0
Malay,Female,15,0,0,0,0,0
Malay,Female,20,0,1,1,0,1
Malay,Female,25,0,1,0,0,2
Malay,Female,30,3,2,4,1,2
Malay,Female,35,1,6,3,5,2
Malay,Female,40,2,7,8,8,5
Malay,Female,45,2,6,9,17,18
Malay,Female,50,8,4,12,11,22
Malay,Female,55,6,13,8,22,29
Malay,Female,60,8,5,12,13,19
Malay,Female,65,12,11,18,19,17
Malay,Female,70,9,16,18,16,20
Malay,Female,75,10,6,14,15,16
Malay,Female,80,1,7,10,14,25
Indian,Male,0,0,0,0,0,0
Indian,Male,5,0,0,0,0,0
Indian,Male,10,0,0,0,0,0
Indian,Male,15,0,0,0,0,0
Indian,Male,20,0,0,0,0,0
Indian,Male,25,0,0,0,0,0
Indian,Male,30,1,0,0,0,2
Indian,Male,35,1,1,5,0,0
Indian,Male,40,2,4,2,5,5
Indian,Male,45,5,3,2,6,8
Indian,Male,50,4,4,11,13,9
Indian,Male,55,8,4,13,15,21
Indian,Male,60,16,7,10,16,17
Indian,Male,65,26,19,17,16,15
Indian,Male,70,8,12,8,20,28
Indian,Male,75,9,11,12,15,21
Indian,Male,80,3,4,10,16,24
Indian,Female,0,0,0,0,0,1
Indian,Female,5,0,0,0,0,0
Indian,Female,10,0,0,0,0,0
Indian,Female,15,0,0,0,0,0
Indian,Female,20,0,0,0,0,0
Indian,Female,25,0,0,0,0,0
Indian,Female,30,0,0,0,0,5
Indian,Female,35,0,0,2,2,1
Indian,Female,40,2,0,2,2,1
Indian,Female,45,0,2,2,1,2
Indian,Female,50,1,1,3,4,4
Indian,Female,55,2,2,2,2,4
Indian,Female,60,1,3,1,2,5
Indian,Female,65,1,1,3,4,5
Indian,Female,70,3,2,4,4,10
Indian,Female,75,0,3,9,0,5
Indian,Female,80,0,3,6,5,6
All,Male,0,0,0,0,0,0
All,Male,5,0,0,0,1,0
All,Male,10,1,1,0,0,1
All,Male,15,2,0,0,3,1
All,Male,20,0,0,1,2,1
All,Male,25,4,5,4,1,3
All,Male,30,11,8,12,13,11
All,Male,35,24,39,32,20,27
All,Male,40,60,75,69,78,76
All,Male,45,107,93,118,143,156
All,Male,50,192,164,215,232,263
All,Male,55,359,291,322,341,412
All,Male,60,517,439,465,461,534
All,Male,65,515,634,645,647,615
All,Male,70,480,555,665,719,738
All,Male,75,353,417,507,619,721
All,Male,80,346,437,516,548,714
All,Female,0,0,0,1,0,1
All,Female,5,0,0,0,0,0
All,Female,10,0,1,0,1,0
All,Female,15,0,0,0,1,0
All,Female,20,1,3,2,2,1
All,Female,25,6,4,2,3,2
All,Female,30,13,9,19,7,22
All,Female,35,21,22,17,22,31
All,Female,40,28,43,46,55,47
All,Female,45,34,70,80,99,115
All,Female,50,78,72,112,131,171
All,Female,55,85,132,106,191,222
All,Female,60,138,120,138,180,238
All,Female,65,180,221,205,226,273
All,Female,70,195,225,227,275,292
All,Female,75,192,217,245,255,287
All,Female,80,201,304,397,420,547
